,C FG3M,C FG3A,C FG3%,O FG3M,O FG3A,O FG3%
Andrew Wiggins,9.0,36.0,0.25,131.0,330.0,0.396969696969697
Anfernee Simons,18.0,61.0,0.29508196721311475,102.0,221.0,0.46153846153846156
Anthony Edwards,17.0,69.0,0.2463768115942029,154.0,451.0,0.34146341463414637
Ben McLemore,14.0,37.0,0.3783783783783784,28.0,77.0,0.36363636363636365
Bobby Portis,3.0,9.0,0.3333333333333333,71.0,148.0,0.4797297297297297
Bojan Bogdanovic,17.0,45.0,0.37777777777777777,162.0,415.0,0.39036144578313253
Bradley Beal,29.0,87.0,0.3333333333333333,101.0,286.0,0.3531468531468531
Brandon Ingram,41.0,109.0,0.3761467889908257,102.0,266.0,0.38345864661654133
Brook Lopez,2.0,3.0,0.6666666666666666,93.0,278.0,0.3345323741007194
Bryn Forbes,19.0,44.0,0.4318181818181818,135.0,297.0,0.45454545454545453
Buddy Hield,54.0,163.0,0.3312883435582822,228.0,558.0,0.40860215053763443
Cameron Johnson,5.0,14.0,0.35714285714285715,112.0,319.0,0.3510971786833856
Cameron Payne,1.0,7.0,0.14285714285714285,72.0,158.0,0.45569620253164556
Carmelo Anthony,38.0,91.0,0.4175824175824176,95.0,234.0,0.405982905982906
Cedi Osman,5.0,31.0,0.16129032258064516,89.0,285.0,0.312280701754386
Chris Boucher,3.0,15.0,0.2,87.0,220.0,0.39545454545454545
Chris Paul,5.0,35.0,0.14285714285714285,96.0,219.0,0.4383561643835616
Coby White,8.0,26.0,0.3076923076923077,155.0,428.0,0.3621495327102804
Collin Sexton,9.0,32.0,0.28125,87.0,228.0,0.3815789473684211
D.J. Augustin,2.0,10.0,0.2,32.0,78.0,0.41025641025641024
Damian Lillard,76.0,221.0,0.3438914027149321,199.0,483.0,0.41200828157349895
Damion Lee,6.0,14.0,0.42857142857142855,71.0,179.0,0.39664804469273746
Danilo Gallinari,9.0,23.0,0.391304347826087,94.0,231.0,0.4069264069264069
Danny Green,26.0,87.0,0.2988505747126437,149.0,345.0,0.4318840579710145
Darius Bazley,0.0,7.0,0.0,83.0,279.0,0.2974910394265233
Darius Garland,3.0,15.0,0.2,102.0,251.0,0.4063745019920319
Davis Bertans,52.0,137.0,0.3795620437956204,117.0,291.0,0.4020618556701031
De'Aaron Fox,10.0,48.0,0.20833333333333334,93.0,272.0,0.34191176470588236
De'Anthony Melton,12.0,26.0,0.46153846153846156,75.0,185.0,0.40540540540540543
Dean Wade,1.0,5.0,0.2,77.0,208.0,0.3701923076923077
Denzel Valentine,1.0,9.0,0.1111111111111111,79.0,233.0,0.33905579399141633
Desmond Bane,4.0,20.0,0.2,113.0,251.0,0.450199203187251
Devin Booker,22.0,73.0,0.3013698630136986,102.0,293.0,0.34812286689419797
Devonte' Graham,32.0,107.0,0.29906542056074764,146.0,369.0,0.3956639566395664
Dillon Brooks,5.0,25.0,0.2,123.0,347.0,0.35446685878962536
Donovan Mitchell,26.0,80.0,0.325,152.0,380.0,0.4
Donte DiVincenzo,6.0,20.0,0.3,125.0,326.0,0.3834355828220859
Dorian Finney-Smith,1.0,3.0,0.3333333333333333,117.0,298.0,0.3926174496644295
Doug McDermott,20.0,54.0,0.37037037037037035,91.0,232.0,0.3922413793103448
Duncan Robinson,90.0,242.0,0.371900826446281,160.0,371.0,0.431266846361186
Eric Bledsoe,3.0,16.0,0.1875,118.0,338.0,0.34911242603550297
Facundo Campazzo,2.0,2.0,1.0,74.0,214.0,0.34579439252336447
Fred VanVleet,25.0,82.0,0.3048780487804878,149.0,394.0,0.37817258883248733
Furkan Korkmaz,7.0,26.0,0.2692307692307692,94.0,243.0,0.3868312757201646
Garrison Mathews,23.0,62.0,0.3709677419354839,53.0,136.0,0.3897058823529412
Gary Trent Jr.,7.0,40.0,0.175,37.0,84.0,0.44047619047619047
Georges Niang,1.0,8.0,0.125,123.0,284.0,0.43309859154929575
Harrison Barnes,3.0,14.0,0.21428571428571427,97.0,242.0,0.40082644628099173
Immanuel Quickley,13.0,48.0,0.2708333333333333,104.0,252.0,0.4126984126984127
Ja Morant,2.0,15.0,0.13333333333333333,71.0,226.0,0.3141592920353982
JaMychal Green,9.0,34.0,0.2647058823529412,70.0,163.0,0.4294478527607362
Jaden McDaniels,0.0,0.0,,72.0,198.0,0.36363636363636365
Jae Crowder,14.0,44.0,0.3181818181818182,133.0,333.0,0.3993993993993994
Jalen Brunson,7.0,13.0,0.5384615384615384,74.0,187.0,0.39572192513368987
Jaylen Brown,32.0,83.0,0.3855421686746988,131.0,327.0,0.40061162079510704
Jayson Tatum,54.0,160.0,0.3375,133.0,325.0,0.40923076923076923
Jeff Green,4.0,14.0,0.2857142857142857,99.0,236.0,0.4194915254237288
Jerami Grant,12.0,46.0,0.2608695652173913,101.0,278.0,0.36330935251798563
Joe Harris,35.0,105.0,0.3333333333333333,176.0,339.0,0.5191740412979351
Joe Ingles,12.0,34.0,0.35294117647058826,171.0,372.0,0.4596774193548387
John Collins,2.0,7.0,0.2857142857142857,81.0,201.0,0.40298507462686567
Jordan Clarkson,46.0,172.0,0.26744186046511625,162.0,425.0,0.3811764705882353
Jordan Poole,12.0,35.0,0.34285714285714286,85.0,241.0,0.35269709543568467
Josh Jackson,12.0,43.0,0.27906976744186046,64.0,211.0,0.3033175355450237
Josh Richardson,5.0,29.0,0.1724137931034483,83.0,238.0,0.3487394957983193
Jrue Holiday,6.0,22.0,0.2727272727272727,105.0,262.0,0.40076335877862596
Julius Randle,19.0,47.0,0.40425531914893614,141.0,342.0,0.41228070175438597
Justin Holiday,24.0,65.0,0.36923076923076925,149.0,388.0,0.38402061855670105
Kawhi Leonard,14.0,42.0,0.3333333333333333,87.0,212.0,0.41037735849056606
Kelly Olynyk,2.0,6.0,0.3333333333333333,47.0,119.0,0.3949579831932773
Kelly Oubre Jr.,2.0,12.0,0.16666666666666666,88.0,271.0,0.3247232472324723
Kendrick Nunn,2.0,19.0,0.10526315789473684,120.0,301.0,0.39867109634551495
Kent Bazemore,2.0,10.0,0.2,73.0,174.0,0.41954022988505746
Kentavious Caldwell-Pope,8.0,29.0,0.27586206896551724,111.0,256.0,0.43359375
Kevin Huerter,7.0,22.0,0.3181818181818182,133.0,364.0,0.36538461538461536
Khris Middleton,28.0,79.0,0.35443037974683544,123.0,286.0,0.43006993006993005
Kyle Anderson,4.0,13.0,0.3076923076923077,90.0,248.0,0.3629032258064516
Kyle Kuzma,8.0,31.0,0.25806451612903225,129.0,348.0,0.3706896551724138
Kyrie Irving,22.0,74.0,0.2972972972972973,130.0,304.0,0.4276315789473684
LaMelo Ball,0.0,9.0,0.0,93.0,253.0,0.3675889328063241
Landry Shamet,9.0,36.0,0.25,120.0,297.0,0.40404040404040403
Lauri Markkanen,3.0,10.0,0.3,116.0,286.0,0.40559440559440557
Lonnie Walker IV,4.0,19.0,0.21052631578947367,96.0,263.0,0.3650190114068441
Lonzo Ball,14.0,43.0,0.32558139534883723,158.0,412.0,0.38349514563106796
Luguentz Dort,6.0,32.0,0.1875,107.0,297.0,0.3602693602693603
Luka Doncic,16.0,74.0,0.21621621621621623,176.0,472.0,0.3728813559322034
Luke Kennard,9.0,18.0,0.5,91.0,201.0,0.4527363184079602
Malcolm Brogdon,9.0,25.0,0.36,136.0,349.0,0.38968481375358166
Marcus Morris Sr.,13.0,45.0,0.28888888888888886,127.0,251.0,0.5059760956175299
Michael Porter Jr.,49.0,132.0,0.3712121212121212,120.0,248.0,0.4838709677419355
Mikal Bridges,5.0,15.0,0.3333333333333333,124.0,295.0,0.42033898305084744
Mike Conley,7.0,23.0,0.30434782608695654,130.0,311.0,0.4180064308681672
Miles Bridges,2.0,8.0,0.25,114.0,282.0,0.40425531914893614
Mychal Mulder,9.0,26.0,0.34615384615384615,75.0,187.0,0.40106951871657753
Nicolas Batum,7.0,20.0,0.35,103.0,251.0,0.4103585657370518
Nikola Jokic,9.0,32.0,0.28125,83.0,204.0,0.4068627450980392
Nikola Vucevic,0.0,1.0,0.0,59.0,151.0,0.39072847682119205
Norman Powell,11.0,31.0,0.3548387096774194,42.0,116.0,0.3620689655172414
P.J. Washington,2.0,11.0,0.18181818181818182,109.0,278.0,0.3920863309352518
Pascal Siakam,1.0,5.0,0.2,72.0,241.0,0.2987551867219917
Pat Connaughton,5.0,22.0,0.22727272727272727,96.0,250.0,0.384
Patty Mills,34.0,98.0,0.3469387755102041,127.0,332.0,0.3825301204819277
Paul George,34.0,108.0,0.3148148148148148,137.0,308.0,0.4448051948051948
Payton Pritchard,4.0,17.0,0.23529411764705882,98.0,231.0,0.42424242424242425
RJ Barrett,6.0,21.0,0.2857142857142857,118.0,287.0,0.41114982578397213
Reggie Bullock,14.0,45.0,0.3111111111111111,148.0,351.0,0.42165242165242167
Reggie Jackson,7.0,19.0,0.3684210526315789,113.0,259.0,0.4362934362934363
Robert Covington,14.0,56.0,0.25,121.0,300.0,0.4033333333333333
Royce O'Neale,2.0,6.0,0.3333333333333333,105.0,272.0,0.3860294117647059
Rudy Gay,10.0,32.0,0.3125,96.0,246.0,0.3902439024390244
Russell Westbrook,3.0,13.0,0.23076923076923078,83.0,260.0,0.3192307692307692
Saddiq Bey,10.0,29.0,0.3448275862068966,165.0,427.0,0.3864168618266979
Seth Curry,23.0,57.0,0.40350877192982454,103.0,223.0,0.4618834080717489
Stephen Curry,95.0,252.0,0.376984126984127,240.0,542.0,0.44280442804428044
Sterling Brown,1.0,20.0,0.05,88.0,191.0,0.4607329842931937
Svi Mykhailiuk,14.0,30.0,0.4666666666666667,34.0,113.0,0.3008849557522124
Terence Davis,9.0,29.0,0.3103448275862069,45.0,116.0,0.3879310344827586
Terry Rozier,49.0,132.0,0.3712121212121212,173.0,438.0,0.3949771689497717
Theo Maledon,2.0,21.0,0.09523809523809523,102.0,290.0,0.35172413793103446
Tim Hardaway Jr.,41.0,113.0,0.36283185840707965,166.0,415.0,0.4
Timothe Luwawu-Cabarrot,2.0,15.0,0.13333333333333333,73.0,224.0,0.32589285714285715
Tobias Harris,9.0,19.0,0.47368421052631576,73.0,189.0,0.3862433862433862
Trae Young,3.0,22.0,0.13636363636363635,132.0,374.0,0.35294117647058826
Tyler Herro,18.0,62.0,0.2903225806451613,89.0,235.0,0.37872340425531914
Tyrese Haliburton,1.0,2.0,0.5,120.0,293.0,0.40955631399317405
Will Barton,3.0,14.0,0.21428571428571427,94.0,241.0,0.3900414937759336
Zach LaVine,35.0,108.0,0.32407407407407407,165.0,369.0,0.44715447154471544
